species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent	collection_location	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS pg (2C) replicate	GS pg (2C)	GS pg (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	STDV(GS)	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample	V30	V31	V32	V33	V34
Empetrum nigrum	ddEmpNigr1.hap2.1	Scaffold	1592935160	1592358160	ddEmpNigr1	4	31					512633350	516240364	225861312	227450528	286772038	288789836	84.5253	97.9794	0.125251	0.125251	RBGE	DMR363	DTOL	Angiosperm	Ericaceae	Empetrum	nigrum	<Petro	GPB3%PVP	206.29	322.06	4.93	3.27	1.561	208.35	327.76	2.88	2.86	1.43	1.4	4.88	3.02	0.011	0.019	Nacho	2020-07-31	""	2C = 1.29pg	Twice the reported content!	""	""	""	""	""
Encalypta ciliata	cbEncCili3.1	Chromosome	402542723	402427723	cbEncCili3	1	31					371601190	378198892	135533129	137939492	236068061	240259400	77.045	96.5673	0.753181	0.753181	RBGE	DB1612	DTOL	Bryophyte	Encalyptaceae	Encalypta	ciliata	<Oryza	OXPRO	117.69	229.19	5.85	4.73	1.947	124.29	243.32	1.03	1.02	0.51	0.5	5.62	4.91	0.015	0.008	Ella Greensmith	2021-10-27	""	""	""	""	""	""	""	""
Epilobium ciliatum	drEpiCili1.hap1.1	Chromosome	274878083	274856283	drEpiCili1	2	31	99.8974	99.9173	0.0826869	0.102641	320816768	321410037	165294880	165600550	155521889	155809487	81.7033	97.4081	0.128717	0.128717	RBGE	DMR386	DTOL	Angiosperm	Onagraceae	Epilobium	ciliatum	<Solanum	Galbraith	151.81	408.67	5.55	3.55	2.692	147.96	401.78	0.74	0.73	0.36	0.36	5.55	3.86	0.029	0.008	Nacho	2020-08-25	""	2C = 1.10pg	""	""	""	""	""	""
Epilobium ciliatum	drEpiCili1.hap2.1	Scaffold	262945047	262923647	drEpiCili1	2	31	99.8974	99.9173	0.0826869	0.102641	320816768	321410037	165294880	165600550	155521889	155809487	81.7033	97.4081	0.128717	0.128717	RBGE	DMR386	DTOL	Angiosperm	Onagraceae	Epilobium	ciliatum	<Solanum	Galbraith	151.81	408.67	5.55	3.55	2.692	147.96	401.78	0.74	0.73	0.36	0.36	5.55	3.86	0.029	0.008	Nacho	2020-08-25	""	2C = 1.10pg	""	""	""	""	""	""
Epilobium hirsutum	drEpiHirs1.hap1.1	Chromosome	336043468	335879268	drEpiHirs1	2	31	99.8575	99.8917	0.108298	0.142454	347518784	348664289	195999476	196645537	151519308	152018752	83.8877	97.5066	0.113066	0.113066	RBGE	DMR91	DTOL	Angiosperm	Onagraceae	Epilobium	hirsutum	<Solanum	GPB3%PVP	149.53	322.67	5.21	3.56	2.158	157.37	331.32	0.93	0.95	0.47	0.46	4.84	4.1	0.033	0.021	Sahr Mian	2021-08-04	""	0.60	""	""	""	""	""	""
Epilobium hirsutum	drEpiHirs1.hap2.1	Scaffold	270042463	269942463	drEpiHirs1	2	31	99.8575	99.8917	0.108298	0.142454	347518784	348664289	195999476	196645537	151519308	152018752	83.8877	97.5066	0.113066	0.113066	RBGE	DMR91	DTOL	Angiosperm	Onagraceae	Epilobium	hirsutum	<Solanum	GPB3%PVP	149.53	322.67	5.21	3.56	2.158	157.37	331.32	0.93	0.95	0.47	0.46	4.84	4.1	0.033	0.021	Sahr Mian	2021-08-04	""	0.60	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap1.1	Chromosome	438596535	438567735	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap1.1	Chromosome	438596535	438567735	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap1.2	Chromosome	438596535	438567735	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap1.2	Chromosome	438596535	438567735	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap2.1	Scaffold	436788160	436755360	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap2.1	Scaffold	436788160	436755360	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap2.2	Scaffold	436788160	436755360	ddEriCili1	2	31	98.9357	98.9547	1.04532	1.0643	436771072	437593290	160529496	160831691	276241577	276761599	85.0693	95.3514	0.18061	0.18061	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica ciliaris	ddEriCili1.hap2.2	Scaffold	436788160	436755360	ddEriCili2	2	31	98.6521	98.6747	1.32527	1.34794	358955818	360368950	110928671	111365374	248027146	249003576	88.0142	98.5115	0.160784	0.160784	RBGK	MC9080	DTOL	Angiosperm	Ericaceae	Erica	ciliaris	<Solanum	GPB3%PVPBmet	176.25	339.69	3.52	2.93	1.927	183.91	348.75	1.04	1.05	0.53	0.52	3.59	2.68	0.028	0.016	Sahr Mian	2020-09-04	KDTOL10085	No previous estimate	""	""	""	""	""	""
Erica cinerea	ddEriCine1.hap1.1	Chromosome	321501296	321490196	ddEriCine1	2	31	99.1719	99.2378	0.762179	0.828058	465120691	466649894	195371008	196013340	269749683	270636554	76.4042	97.1069	1.21248	1.21248	RBGE	DMR89	DTOL	Angiosperm	Ericaceae	Erica	cinerea	<Petro	GPB3%PVP	87.49	441.90	5.52	2.4	5.051	88.6	442.06	0.89	0.9	0.45	0.44	5.7	2.37	0.086	0.016	Sahr Mian	2021-08-16	""	-	""	""	""	""	""	""
Erica cinerea	ddEriCine1.hap2.1	Scaffold	324365723	324356823	ddEriCine1	2	31	99.1719	99.2378	0.762179	0.828058	465120691	466649894	195371008	196013340	269749683	270636554	76.4042	97.1069	1.21248	1.21248	RBGE	DMR89	DTOL	Angiosperm	Ericaceae	Erica	cinerea	<Petro	GPB3%PVP	87.49	441.90	5.52	2.4	5.051	88.6	442.06	0.89	0.9	0.45	0.44	5.7	2.37	0.086	0.016	Sahr Mian	2021-08-16	""	-	""	""	""	""	""	""
Eriophorum angustifolium	lpEriAngu1.1	Chromosome	447204430	447165630	lpEriAngu1	2	31	98.6497	98.6909	1.30911	1.35026	464651905	466400083	242641410	243554309	222010494	222845773	74.364	92.3737	0.109647	0.109647	RBGE	DAG01	DTOL	Angiosperm	Cyperaceae	Eriophorum	angustifolium	<Petro	GPB3%PVP	198.37	787.94	6.54	4.65	3.972	195.83	764.77	1.13	1.15	0.58	0.56	6.1	4.6	0.073	0.022	Nacho	2020-06-18	""	""	""	""	""	""	""	""
Eriophorum angustifolium	lpEriAngu1.1 alternate haplotype	Scaffold	439440267	439440067	lpEriAngu1	2	31	98.6497	98.6909	1.30911	1.35026	464651905	466400083	242641410	243554309	222010494	222845773	74.364	92.3737	0.109647	0.109647	RBGE	DAG01	DTOL	Angiosperm	Cyperaceae	Eriophorum	angustifolium	<Petro	GPB3%PVP	198.37	787.94	6.54	4.65	3.972	195.83	764.77	1.13	1.15	0.58	0.56	6.1	4.6	0.073	0.022	Nacho	2020-06-18	""	""	""	""	""	""	""	""
Eriophorum vaginatum	lpEriVagi1.hap2.1	Chromosome	384020732	383805532	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665	RBGE	DMR251	DTOL	Angiosperm	Cyperaceae	Eriophorum	vaginatum	<Solanum	GPB3%PVP	145.70	310.26	4.54	3.97	2.129	149.96	316.74	0.93	0.94	0.47	0.46	4.41	3.89	0.017	0.008	Sahr Mian		""	-	""	""	""	""	""	""
Eriophorum vaginatum	lpEriVagi1.hap2.2	Chromosome	384020732	383805532	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665	RBGE	DMR251	DTOL	Angiosperm	Cyperaceae	Eriophorum	vaginatum	<Solanum	GPB3%PVP	145.70	310.26	4.54	3.97	2.129	149.96	316.74	0.93	0.94	0.47	0.46	4.41	3.89	0.017	0.008	Sahr Mian		""	-	""	""	""	""	""	""
Eriophorum vaginatum	lpEriVagi1.hap1.1	Chromosome	398675719	398457119	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665	RBGE	DMR251	DTOL	Angiosperm	Cyperaceae	Eriophorum	vaginatum	<Solanum	GPB3%PVP	145.70	310.26	4.54	3.97	2.129	149.96	316.74	0.93	0.94	0.47	0.46	4.41	3.89	0.017	0.008	Sahr Mian		""	-	""	""	""	""	""	""
Eriophorum vaginatum	lpEriVagi1.hap1.2	Chromosome	398675719	398457119	lpEriVagi1	2	31	98.5335	98.5715	1.42854	1.46654	341137257	343367355	152101874	153096201	189035383	190271154	80.5902	97.5131	0.134665	0.134665	RBGE	DMR251	DTOL	Angiosperm	Cyperaceae	Eriophorum	vaginatum	<Solanum	GPB3%PVP	145.70	310.26	4.54	3.97	2.129	149.96	316.74	0.93	0.94	0.47	0.46	4.41	3.89	0.017	0.008	Sahr Mian		""	-	""	""	""	""	""	""
Erodium maritimum	drEroMari8.1 alternate haplotype	Contig	10277626	10277626	drEroMari1	2	31	87.3032	99.578	0.422015	12.6968	167802478	173651695	116617841	120682876	51184637	52968818	44.9751	62.4314	1.86518	1.86518	RBGE	ZAG1904	DTOL	Angiosperm	Geraniaceae	Erodium	maritimum	<Petro	GPB3%PVPBmet	192.91	464.55	3.26	2.24	2.408	195.16	464.01	1.87	1.89	0.95	0.93	3.3	2.4	0.028	0.022	Sahr Mian	2020-08-26	""	no previous estimate	""	""	""	""	""	""
Erodium maritimum	drEroMari8.1 alternate haplotype	Contig	10277626	10277626	drEroMari8	2	31	99.8628	99.8883	0.111679	0.137178	799284384	801456092	310187421	311030220	489096964	490425872	81.5127	98.0771	0.2094	0.2094	RBGE	ZAG1904	DTOL	Angiosperm	Geraniaceae	Erodium	maritimum	<Petro	GPB3%PVPBmet	192.91	464.55	3.26	2.24	2.408	195.16	464.01	1.87	1.89	0.95	0.93	3.3	2.4	0.028	0.022	Sahr Mian	2020-08-26	""	no previous estimate	""	""	""	""	""	""
Erodium maritimum	drEroMari8.1	Chromosome	762646897	762576097	drEroMari1	2	31	87.3032	99.578	0.422015	12.6968	167802478	173651695	116617841	120682876	51184637	52968818	44.9751	62.4314	1.86518	1.86518	RBGE	ZAG1904	DTOL	Angiosperm	Geraniaceae	Erodium	maritimum	<Petro	GPB3%PVPBmet	192.91	464.55	3.26	2.24	2.408	195.16	464.01	1.87	1.89	0.95	0.93	3.3	2.4	0.028	0.022	Sahr Mian	2020-08-26	""	no previous estimate	""	""	""	""	""	""
Erodium maritimum	drEroMari8.1	Chromosome	762646897	762576097	drEroMari8	2	31	99.8628	99.8883	0.111679	0.137178	799284384	801456092	310187421	311030220	489096964	490425872	81.5127	98.0771	0.2094	0.2094	RBGE	ZAG1904	DTOL	Angiosperm	Geraniaceae	Erodium	maritimum	<Petro	GPB3%PVPBmet	192.91	464.55	3.26	2.24	2.408	195.16	464.01	1.87	1.89	0.95	0.93	3.3	2.4	0.028	0.022	Sahr Mian	2020-08-26	""	no previous estimate	""	""	""	""	""	""
Erodium moschatum	drEroMosc1.hap1.1	Chromosome	760610945	760599945	drEroMosc1	2	31	99.8419	99.8666	0.133385	0.158139	782382802	784100157	316965773	317661523	465417029	466438634	80.4915	93.7822	0.130643	0.130643	RBGK	MC9139	DTOL	Angiosperm	Geraniaceae	Erodium	moschatum	<Petro	GPB3%PVPBmet	148.09	353.01	2.77	1.9	2.384	153.78	360.03	1.89	1.92	0.96	0.94	2.77	1.91	0.038	0.031	Sahr Mian	2020-04-07	KDTOL10156	No previous estimate	""	""	""	""	""	""
Erodium moschatum	drEroMosc1.hap2.1	Scaffold	753139276	753126876	drEroMosc1	2	31	99.8419	99.8666	0.133385	0.158139	782382802	784100157	316965773	317661523	465417029	466438634	80.4915	93.7822	0.130643	0.130643	RBGK	MC9139	DTOL	Angiosperm	Geraniaceae	Erodium	moschatum	<Petro	GPB3%PVPBmet	148.09	353.01	2.77	1.9	2.384	153.78	360.03	1.89	1.92	0.96	0.94	2.77	1.91	0.038	0.031	Sahr Mian	2020-04-07	KDTOL10156	No previous estimate	""	""	""	""	""	""
Euonymus europaeus	drEuoEuro1.1 alternate haplotype	Contig	167770331	167770331	drEuoEuro1	2	31	99.6834	99.7049	0.295116	0.316576	440282761	440980296	195061079	195370112	245221682	245610184	84.2815	96.4914	0.232618	0.232618	RBGK	MC9104	DTOL	Angiosperm	Celastraceae	Euonymus	europaeus	<Petro	OXPRO	129.00	505.21	3.37	1.79	3.916	137.14	519.96	1.15	1.19	0.59	0.58	3.44	1.83	0.139	0.044	Sahr Mian	2020-09-09	KDTOL10110	1.88 (2010)*	""	""	""	""	""	""
Euonymus europaeus	drEuoEuro1.1	Chromosome	441882483	441875483	drEuoEuro1	2	31	99.6834	99.7049	0.295116	0.316576	440282761	440980296	195061079	195370112	245221682	245610184	84.2815	96.4914	0.232618	0.232618	RBGK	MC9104	DTOL	Angiosperm	Celastraceae	Euonymus	europaeus	<Petro	OXPRO	129.00	505.21	3.37	1.79	3.916	137.14	519.96	1.15	1.19	0.59	0.58	3.44	1.83	0.139	0.044	Sahr Mian	2020-09-09	KDTOL10110	1.88 (2010)*	""	""	""	""	""	""
Euphorbia lathyris	ddEupLath1.1 alternate haplotype	Contig	2469976	2469976	ddEupLath1	2	31	99.9146	99.9723	0.0276704	0.0853868	1232048763	1237596593	761779143	765209381	470269620	472387212	69.2852	98.4518	0.14666	0.14666	LCD	1994-2809	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	lathyris	<Petro	GPB3%PVPBmet	220.69	398.38	2.98	3.13	1.805	228.77	408.79	2.49	2.52	1.26	1.23	2.77	2.96	0.018	0.025	Sahr Mian	2020-07-28	KDTOL10006	no previous estimate	""	""	""	""	""	""
Euphorbia lathyris	ddEupLath1.1	Chromosome	1020389306	1020384506	ddEupLath1	2	31	99.9146	99.9723	0.0276704	0.0853868	1232048763	1237596593	761779143	765209381	470269620	472387212	69.2852	98.4518	0.14666	0.14666	LCD	1994-2809	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	lathyris	<Petro	GPB3%PVPBmet	220.69	398.38	2.98	3.13	1.805	228.77	408.79	2.49	2.52	1.26	1.23	2.77	2.96	0.018	0.025	Sahr Mian	2020-07-28	KDTOL10006	no previous estimate	""	""	""	""	""	""
Euphorbia maculata	ddEupMacu1.hap1.1	Chromosome	753523765	753471765	ddEupMacu1	2	31	99.9176	99.9737	0.0263365	0.0824044	772988454	774395199	301039334	301587189	471949120	472808010	81.9003	98.2432	0.149421	0.149421	RBGK	MC9435	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	maculata	<Petro	GPB3%PVP	141.80	323.02	3.97	2.57	2.278	144.18	326.65	1.98	1.99	0.99	0.97	3.81	2.42	0.011	0.009	Sahr Mian		""	-	""	""	""	""	""	""
Euphorbia maculata	ddEupMacu1.hap2.1	Scaffold	724523753	724476953	ddEupMacu1	2	31	99.9176	99.9737	0.0263365	0.0824044	772988454	774395199	301039334	301587189	471949120	472808010	81.9003	98.2432	0.149421	0.149421	RBGK	MC9435	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	maculata	<Petro	GPB3%PVP	141.80	323.02	3.97	2.57	2.278	144.18	326.65	1.98	1.99	0.99	0.97	3.81	2.42	0.011	0.009	Sahr Mian		""	-	""	""	""	""	""	""
Euphorbia peplus	ddEupPepu3.1 alternate haplotype	Contig	6464237	6464237	ddEupPepu3	2	31	99.945	99.9595	0.0405221	0.0549529	355175482	355575239	164323919	164508869	190851563	191066370	85.5613	96.8996	0.166819	0.166819	Offsite	MC9009	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	peplus	<Solanum	GPB3%PVPBmet	215.00	541.00	4.98	2.79	2.514	220.04	552.48	0.79	0.8	0.4	0.39	4.82	2.74	0.02	0.006	Sahr Mian	2020-05-08	KDTOL10012	0.69 (2007)*	Sanger - low DNA yield	""	""	""	""	""
Euphorbia peplus	ddEupPepu3.1	Chromosome	277122259	277121259	ddEupPepu3	2	31	99.945	99.9595	0.0405221	0.0549529	355175482	355575239	164323919	164508869	190851563	191066370	85.5613	96.8996	0.166819	0.166819	Offsite	MC9009	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	peplus	<Solanum	GPB3%PVPBmet	215.00	541.00	4.98	2.79	2.514	220.04	552.48	0.79	0.8	0.4	0.39	4.82	2.74	0.02	0.006	Sahr Mian	2020-05-08	KDTOL10012	0.69 (2007)*	Sanger - low DNA yield	""	""	""	""	""
Euphrasia confusa	daEupConf1.1 alternate haplotype	Contig	28856203	28856203	daEupConf1	4	31					465952798	471342613	327281206	331066964	138671593	140275648	75.8428	92.1195	0.119529	0.119529																																		
Euphrasia confusa	daEupConf1.1	Chromosome	976479663	976439263	daEupConf1	4	31					465952798	471342613	327281206	331066964	138671593	140275648	75.8428	92.1195	0.119529	0.119529																																		
Euphrasia tetraquetra	daEupTetr3.hap1.1	Chromosome	951355569	951260569	daEupTetr2	2	31	91.9287	97.4524	2.54756	8.07127	200026039	207395422	160670104	166589531	39355935	40805891	44.5607	83.49	1.34516	1.34516	RBGK	MC9671	DTOL	Angiosperm	Orobanchaceae	Euphrasia	tetraquetra	<Petro	GPB3%PVP	202.77	363.14	4.04	2.5	1.791	208.44	367.23	2.51	2.55	1.28	1.25	4.53	2.69	0.025	0.036	Nacho	2020-08-15	KDTOL11047	""	""	""	""	""	""	""
Euphrasia tetraquetra	daEupTetr3.hap1.1	Chromosome	951355569	951260569	daEupTetr3	2	31	99.8019	100	0	0.198072	970320540	979756377	670530090	677050628	299790450	302705749	65.9665	94.9987	0.145129	0.145129	RBGK	MC9671	DTOL	Angiosperm	Orobanchaceae	Euphrasia	tetraquetra	<Petro	GPB3%PVP	202.77	363.14	4.04	2.5	1.791	208.44	367.23	2.51	2.55	1.28	1.25	4.53	2.69	0.025	0.036	Nacho	2020-08-15	KDTOL11047	""	""	""	""	""	""	""
Euphrasia tetraquetra	daEupTetr3.hap2.1	Scaffold	903616905	903559705	daEupTetr2	2	31	91.9287	97.4524	2.54756	8.07127	200026039	207395422	160670104	166589531	39355935	40805891	44.5607	83.49	1.34516	1.34516	RBGK	MC9671	DTOL	Angiosperm	Orobanchaceae	Euphrasia	tetraquetra	<Petro	GPB3%PVP	202.77	363.14	4.04	2.5	1.791	208.44	367.23	2.51	2.55	1.28	1.25	4.53	2.69	0.025	0.036	Nacho	2020-08-15	KDTOL11047	""	""	""	""	""	""	""
Euphrasia tetraquetra	daEupTetr3.hap2.1	Scaffold	903616905	903559705	daEupTetr3	2	31	99.8019	100	0	0.198072	970320540	979756377	670530090	677050628	299790450	302705749	65.9665	94.9987	0.145129	0.145129	RBGK	MC9671	DTOL	Angiosperm	Orobanchaceae	Euphrasia	tetraquetra	<Petro	GPB3%PVP	202.77	363.14	4.04	2.5	1.791	208.44	367.23	2.51	2.55	1.28	1.25	4.53	2.69	0.025	0.036	Nacho	2020-08-15	KDTOL11047	""	""	""	""	""	""	""
Fagus sylvatica	dhFagSylv1.hap1.1	Chromosome	484186010	484128189	dhFagSylv1	2	31	98.7083	98.7434	1.25657	1.29168	473277769	476162959	213732137	215035089	259545631	261127871	81.2179	97.6355	0.125483	0.125483	RBGK	MC9171	DTOL	Angiosperm	Fagaceae	Fagus	sylvatica	<Petro	OXPRO	108.96	380.88	4.51	3.07	3.496	113.72	390.92	1.29	1.31	0.65	0.64	4.38	3.48	0.064	0.025	Robyn Powell	2020-05-06	KDTOL10189	1.08	""	""	""	""	""	""
Fagus sylvatica	dhFagSylv1.hap2.1	Scaffold	486262079	486204679	dhFagSylv1	2	31	98.7083	98.7434	1.25657	1.29168	473277769	476162959	213732137	215035089	259545631	261127871	81.2179	97.6355	0.125483	0.125483	RBGK	MC9171	DTOL	Angiosperm	Fagaceae	Fagus	sylvatica	<Petro	OXPRO	108.96	380.88	4.51	3.07	3.496	113.72	390.92	1.29	1.31	0.65	0.64	4.38	3.48	0.064	0.025	Robyn Powell	2020-05-06	KDTOL10189	1.08	""	""	""	""	""	""
Fallopia convolvulus	dcFalConv1.1 alternate haplotype	Scaffold	1182443773	1182361173	dcFalConv1	2	31	90.94	95.8976	4.1024	9.06005	671340596	673953381	355882727	357267784	315457869	316685597	74.2849	91.9413	0.167014	0.167014	Offsite	MC9031	DTOL	Angiosperm	Polygonaceae	Fallopia	convolvulus	<Solanum	GPB3%PVPBmet	377.56	548.99	3.97	3.1	1.539	405.73	581.98	1.38	1.39	0.7	0.68	3.94	3.16	0.013	0.019	Sahr Mian	2020-08-14	KDTOL10034	1.4 (1992)*	Sanger - low DNA yield	""	""	""	""	""
Fallopia convolvulus	dcFalConv1.1	Chromosome	1241754740	1241656140	dcFalConv1	2	31	90.94	95.8976	4.1024	9.06005	671340596	673953381	355882727	357267784	315457869	316685597	74.2849	91.9413	0.167014	0.167014	Offsite	MC9031	DTOL	Angiosperm	Polygonaceae	Fallopia	convolvulus	<Solanum	GPB3%PVPBmet	377.56	548.99	3.97	3.1	1.539	405.73	581.98	1.38	1.39	0.7	0.68	3.94	3.16	0.013	0.019	Sahr Mian	2020-08-14	KDTOL10034	1.4 (1992)*	Sanger - low DNA yield	""	""	""	""	""
Filago lutescens	daFilLute1.hap1.1	Chromosome	648445603	648406003	daFilLute1	2	31	99.9713	100	0	0.0286806	768330163	771297364	325106866	326362391	443223297	444934973	77.4092	86.0388	0.172493	0.172493	RBGK	MC9417	DTOL	Angiosperm	Asteraceae	Filago	lutescens	<Solanum	GPB3%PVP	314.19	417.22	2.71	2.53	1.328	321.83	424.47	1.49	1.5	0.75	0.73	2.39	2.63	0.008	0.009	Sahr Mian		""	1.39	""	""	""	""	""	""
Filago lutescens	daFilLute1.hap2.1	Scaffold	646216717	646179517	daFilLute1	2	31	99.9713	100	0	0.0286806	768330163	771297364	325106866	326362391	443223297	444934973	77.4092	86.0388	0.172493	0.172493	RBGK	MC9417	DTOL	Angiosperm	Asteraceae	Filago	lutescens	<Solanum	GPB3%PVP	314.19	417.22	2.71	2.53	1.328	321.83	424.47	1.49	1.5	0.75	0.73	2.39	2.63	0.008	0.009	Sahr Mian		""	1.39	""	""	""	""	""	""
Filago pyramidata	daFilPyra1.hap1.1	Chromosome	617772229	617719029	daFilPyra1	2	31	99.9306	99.9464	0.0535561	0.0693607	706662640	707535423	256463395	256780147	450199245	450755276	85.5308	98.2885	0.316928	0.316928	RBGK	MC9225	DTOL	Angiosperm	Asteraceae	Filago	pyramidata	<Petro	OXPRO	138.07	412.33	3.74	2.59	2.986	142.73	417.53	1.51	1.54	0.77	0.75	3.76	2.42	0.06	0.032	Robyn Powell	2020-06-30	KDTOL10289	-	""	""	""	""	""	""
Filago pyramidata	daFilPyra1.hap2.1	Scaffold	614247579	614219579	daFilPyra1	2	31	99.9306	99.9464	0.0535561	0.0693607	706662640	707535423	256463395	256780147	450199245	450755276	85.5308	98.2885	0.316928	0.316928	RBGK	MC9225	DTOL	Angiosperm	Asteraceae	Filago	pyramidata	<Petro	OXPRO	138.07	412.33	3.74	2.59	2.986	142.73	417.53	1.51	1.54	0.77	0.75	3.76	2.42	0.06	0.032	Robyn Powell	2020-06-30	KDTOL10289	-	""	""	""	""	""	""
Filipendula ulmaria	drFilUlma1.1 alternate haplotype	Scaffold	275359150	275358650	drFilUlma1	2	31	98.9947	99.0277	0.972345	1.00529	287452645	288484961	126586706	127041311	160865939	161443650	77.1968	97.0368	0.24148	0.24148	Offsite	MC9037	DTOL	Angiosperm	Rosaceae	Filipendula	ulmaria	<Solanum	OXPRO	237.63	602.63	3.88	2.09	1.539	247.82	619.01	0.79	0.8	0.4	0.39	3.88	2.46	0.013	0.011	Sahr Mian	2020-08-14	KDTOL10040	no previous estimate	""	""	""	""	""	""
Filipendula ulmaria	drFilUlma1.1	Chromosome	274991720	274960020	drFilUlma1	2	31	98.9947	99.0277	0.972345	1.00529	287452645	288484961	126586706	127041311	160865939	161443650	77.1968	97.0368	0.24148	0.24148	Offsite	MC9037	DTOL	Angiosperm	Rosaceae	Filipendula	ulmaria	<Solanum	OXPRO	237.63	602.63	3.88	2.09	1.539	247.82	619.01	0.79	0.8	0.4	0.39	3.88	2.46	0.013	0.011	Sahr Mian	2020-08-14	KDTOL10040	no previous estimate	""	""	""	""	""	""
